P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
260,5220,80,0,280,5220,80,50,290,5220,80,60,423.0,3470.0,3.006,3.0
260,5220,80,0,280,5220,80,50,290,5220,80,60,530.0,4340.0,0.945,1.9
260,5220,80,0,280,5220,80,50,290,5220,80,60,474.0,3880.0,1.759,1.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,457.0,3740.0,0.987,7.3
260,5220,80,0,280,5220,80,50,290,5220,80,60,474.0,3880.0,0.993,3.2
260,5220,80,0,280,5220,80,50,290,5220,80,60,484.0,3960.0,0.423,1.2
260,5220,80,0,280,5220,80,50,290,5220,80,60,479.0,3930.0,1.281,1.5
260,5220,80,0,280,5220,80,50,290,5220,80,60,475.0,3890.0,0.319,2.9
260,5220,80,0,280,5220,80,50,290,5220,80,60,478.0,3920.0,0.76,2.1
260,5220,80,0,280,5220,80,50,290,5220,80,60,462.0,3790.0,1.208,5.3
260,5220,80,0,280,5220,80,50,290,5220,80,60,469.0,3850.0,0.501,3.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,449.0,3680.0,2.286,6.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,477.0,3900.0,0.92,3.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,356.0,2920.0,4.325,12.0
260,5220,80,0,280,5220,80,50,290,5220,80,60,388.0,3180.0,1.252,12.0
260,5220,80,0,280,5220,80,50,290,5220,80,60,482.0,3950.0,0.793,1.2
260,5220,80,0,280,5220,80,50,290,5220,80,60,423.0,3470.0,0.439,13.0
260,5220,80,0,280,5220,80,50,290,5220,80,60,484.0,3960.0,1.842,1.2
260,5220,80,0,280,5220,80,50,290,5220,80,60,472.0,3870.0,0.413,3.2
260,5220,80,0,280,5220,80,50,290,5220,80,60,454.0,3720.0,0.985,6.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,484.0,3960.0,0.969,1.2
260,5220,80,0,280,5220,80,50,290,5220,80,60,416.0,3410.0,9.131,2.7
260,5220,80,0,280,5220,80,50,290,5220,80,60,508.0,4160.0,0.197,7.3
260,5220,80,0,280,5220,80,50,290,5220,80,60,475.0,3890.0,0.38,2.6
260,5220,80,0,280,5220,80,50,290,5220,80,60,472.0,3870.0,0.187,3.5
260,5220,80,0,280,5220,80,50,290,5220,80,60,465.0,3810.0,0.482,4.7
260,5220,80,0,280,5220,80,50,290,5220,80,60,464.0,3800.0,0.85,4.7
260,5220,80,0,280,5220,80,50,290,5220,80,60,487.0,3990.0,0.81,0.59
260,5220,80,0,280,5220,80,50,290,5220,80,60,457.0,3740.0,0.503,6.5
260,5220,80,0,280,5220,80,50,290,5220,80,60,432.0,3540.0,3.271,7.1
260,5220,80,0,280,5220,80,50,290,5220,80,60,495.0,4059.9999999999995,0.484,3.1
260,5220,80,0,280,5220,80,50,290,5220,80,60,479.0,3930.0,0.673,2.1
260,5220,80,0,280,5220,80,50,290,5220,80,60,479.0,3930.0,0.13,1.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,469.0,3850.0,0.199,3.8
260,5220,80,0,280,5220,80,50,290,5220,80,60,467.0,3820.0,2.331,4.4
