P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.93,94.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.936,92.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.826,80.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.808,82.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.883,50.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.919,92.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.805,75.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.594,87.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.508,83.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.554,75.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.635,92.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.59,80.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.509,90.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.541,71.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.532,82.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,0.0,0.0,1.532,
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,2.87,23.5,1.352,88.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,0.0,0.0,1.352,
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,0.0,0.0,1.352,
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.439,96.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.473,90.0
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,0.0,0.0,1.473,
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,0.0,0.0,1.473,
20,5220,80,0,20,5220,80,6,20,5220,80,12,20,5220,80,19.5,1.44,11.8,1.473,96.0
