P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,5,20,5220,80,15,23.0,188.0,0.91,5.9
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.126,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,20.1,165.0,1.053,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,17.2,141.0,0.703,33.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.013,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.296,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,18.7,153.0,1.246,24.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.266,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,20.1,165.0,1.069,18.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,8.61,70.6,0.984,14.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,0.0,0.0,0.984,
20,5220,80,0,20,5220,80,5,20,5220,80,15,0.0,0.0,0.984,
20,5220,80,0,20,5220,80,5,20,5220,80,15,0.0,0.0,0.984,
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,60.369,81.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,17.2,141.0,28.33,14.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,17.2,141.0,13.852,37.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,14.4,118.0,8.215,23.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,10.0,82.3,5.362,68.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,14.4,118.0,2.877,38.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,17.2,141.0,1.721,33.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,14.4,118.0,1.485,41.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,15.8,129.0,1.41,35.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,21.5,176.0,1.513,12.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,18.7,153.0,1.661,19.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,11.5,94.1,1.37,56.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,17.2,141.0,1.149,29.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,14.4,118.0,1.322,41.0
20,5220,80,0,20,5220,80,5,20,5220,80,15,12.9,106.0,1.034,47.0
