P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.0,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,4.31,35.3,0.08,83.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.08,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.08,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.08,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,0.381,97.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,0.381,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,2.87,23.5,139.762,96.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,206.693,94.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,4.31,35.3,170.361,81.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,4.31,35.3,140.379,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,2.87,23.5,123.521,82.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,4.31,35.3,101.93,62.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,5.74,47.0,78.76,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,5.74,47.0,60.867,56.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,2.87,23.5,53.505,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,5.74,47.0,41.37,69.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,38.933,88.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,2.87,23.5,34.495,75.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,32.355,75.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,32.355,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,30.486,95.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,28.583,83.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,28.583,100.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,1.44,11.8,26.951,95.0
20,5220,80,0,20,5220,80,10,20,5220,80,20,20,5220,80,30,0.0,0.0,26.951,100.0
