P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,20,20,5220,80,30,2.87,23.5,0.149,80.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,5.74,47.0,0.338,56.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,0.577,14.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.643,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,2.87,23.5,0.664,33.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,1.44,11.8,0.667,93.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,0.0,0.0,0.667,100.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,5.74,47.0,1.347,71.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,0.0,0.0,1.347,100.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,2.87,23.5,1.316,90.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,1.44,11.8,1.366,83.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,0.0,0.0,1.366,100.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,1.44,11.8,1.417,92.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,0.0,0.0,1.417,100.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,4.31,35.3,1.298,86.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,4.31,35.3,1.079,75.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,2.87,23.5,0.954,33.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,1.44,11.8,0.936,93.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.133,38.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,4.31,35.3,1.062,57.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,4.31,35.3,1.346,57.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.336,58.0
