P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,0.591,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.84,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.383,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.997,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.992,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.75,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,0.617,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.352,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.49,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.343,5.6
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.073,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.967,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.281,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.901,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.66,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,2.244,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.174,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.61,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.554,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.926,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.038,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.977,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.941,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.324,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.936,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.157,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.837,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.589,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.399,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.336,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.329,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.542,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.232,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.288,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.253,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.248,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.53,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.379,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.283,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.469,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.481,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.453,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.382,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.225,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.383,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.4,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.361,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.215,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.22,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.258,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.504,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.278,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.302,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.33,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.336,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.388,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.078,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.754,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.689,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.794,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.533,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,18.7,153.0,2.713,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.13,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.762,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,0.53,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.473,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.466,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.389,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.323,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.304,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.496,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.366,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.375,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.604,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.387,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.255,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.158,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.541,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.211,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.567,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.988,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.272,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.232,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,2.124,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.657,6.2
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,0.909,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.516,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.285,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.377,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.304,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.14,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.3,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.225,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.303,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.429,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.008,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.648,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,0.486,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.201,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.516,5.6
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.537,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.352,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.32,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.498,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.303,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,2.159,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.264,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.52,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.502,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.295,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.614,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.479,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.447,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.388,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.386,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.471,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.4,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.937,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,0.975,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.439,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.396,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.422,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,2.549,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.239,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,0.853,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.109,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,0.97,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.601,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,0.813,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,1.318,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.239,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.057,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.553,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.768,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,15.8,129.0,2.146,21.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.991,15.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,1.778,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,18.7,153.0,1.208,13.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.187,16.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.923,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,2.537,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,2.257,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,2.347,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,20.1,165.0,1.207,18.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,18.7,153.0,1.724,24.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,2.213,5.6
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.887,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,1.851,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,1.747,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.176,16.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,1.493,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,23.0,188.0,0.975,5.9
20,5220,80,0,20,5220,80,10,20,5220,80,30,21.5,176.0,0.967,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.379,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.523,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,24.4,200.0,0.413,0.0
