P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.304,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.38,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.726,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.782,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.699,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.373,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.188,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.182,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.018,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.403,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.341,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.209,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.056,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.998,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.613,14.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.276,20.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,8.61,70.6,1.521,25.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.888,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.469,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.26,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.321,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.514,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.969,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.371,20.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.06,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.897,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.776,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.09,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.319,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.21,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.326,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.503,20.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,1.958,38.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.754,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.51,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,2.166,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,7.18,58.8,2.184,29.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.786,20.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.256,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.898,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.008,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.274,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.134,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.092,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.908,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.804,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.883,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.905,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.9,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.954,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.202,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.986,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.855,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.985,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.857,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,2.025,22.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.638,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.765,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.42,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,1.093,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.015,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.761,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.692,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.609,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.164,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.949,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,1.388,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,1.163,11.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,11.5,94.1,0.925,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.683,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,10.0,82.3,0.917,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,12.9,106.0,0.748,0.0
