P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P2(dBm),Fre2(MHz),W2(MHz),d2(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.092,14.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.231,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,0.68,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.53,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.616,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.03,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.716,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.498,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.31,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.983,56.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.208,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,2.287,20.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.664,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.16,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.881,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.002,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.521,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.182,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.95,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.483,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.714,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.564,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.874,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.751,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.345,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.066,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.809,14.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.342,40.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.261,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.319,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,0.974,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,0.739,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,0.95,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,0.83,44.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.139,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.47,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.482,14.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.662,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.523,30.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.554,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.983,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.479,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.504,38.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,2.216,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.566,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.761,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.879,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,2.779,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.015,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,2.275,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.885,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,2.11,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,2.45,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,2.637,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.989,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,2.168,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.182,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,4.31,35.3,2.394,67.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.892,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.887,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.623,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.577,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.16,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.881,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.915,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.767,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.539,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.803,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.816,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.377,30.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,2.054,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.494,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.473,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.18,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.702,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.551,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.964,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.907,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,2.199,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,2.294,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.607,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,2.872,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.942,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.709,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.298,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.806,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.815,33.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.492,27.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.507,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.832,40.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.379,14.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.369,29.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.6,45.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.771,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.681,29.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.891,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.407,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,2.033,44.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,4.31,35.3,2.035,57.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.733,10.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.175,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.77,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.155,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.018,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.946,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.586,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.343,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.343,11.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.454,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.912,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,5.74,47.0,1.835,50.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.158,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.146,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,0.876,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.022,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.307,29.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.388,40.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,7.18,58.8,1.45,44.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.062,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,12.9,106.0,1.751,0.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,8.61,70.6,1.315,25.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.917,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,2.011,12.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,10.0,82.3,1.78,22.0
20,5220,80,0,20,5220,80,10,20,5220,80,30,11.5,94.1,1.822,0.0
