P1(dBm),Fre1(MHz),W1(MHz),d1(cm),P3(dBm),Fre3(MHz),W3(MHz),d3(cm),P4(dBm),Fre4(MHz),W4(MHz),d4(cm),Transfer(KBytes),Bandwidth(Kbits/sec),Jitter(ms),Loss_Rate(%)
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.392,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.41,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,1.157,5.6
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.615,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.263,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.242,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.118,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.693,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.53,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.225,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,0.487,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.471,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.988,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.934,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.433,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.229,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.388,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.376,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.51,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.305,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.665,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.377,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.188,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.255,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.206,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.329,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.355,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.254,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.181,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.199,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.149,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,21.5,176.0,0.123,12.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.529,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.367,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.443,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.228,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.26,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.139,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.284,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.376,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.216,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.233,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.117,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.224,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.175,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.275,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.317,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,23.0,188.0,0.222,5.9
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.314,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.255,0.0
20,5220,80,0,20,5220,80,20,20,5220,80,30,24.4,200.0,0.268,0.0
